N,E
4,-0.8090169943749472
6,-0.7830905307837291
8,-0.7745432604000111
10,-0.7706749006667181
12,-0.7685964444445835
14,-0.7673509255921349
16,-0.7665456358888293
18,-0.7659949401732735
20,-0.7656017334033155
22,-0.765311182187418
